personID,label,fullname,years,gender
269146,"Ridley, Matthew White","Ridley, Matthew White (1745-1813, England)",1745-1813,Man
56846,"Pinckney, Charles Cotesworth","Pinckney, Charles Cotesworth (1746-1825)",1746-1825,Man
247412,"Crane, Stephen","Crane, Stephen",1709-1780,Man
59253,"Valentine, Joseph","Valentine, Joseph (1709-1771)",1709-1771,Man
58006,"Shipley, Jonathan","Shipley, Jonathan (1714-1788)",1714-1788,Man
RN-ORG-0347,,,,
56931,"Polson, John, Sr.","Polson, John, Sr. (d. 1778)",-1778,Man
48273,"Adam, Robert","Adam, Robert (1731-1789)",1731-1789,Man
RN-ORG-0358,,,,
58560,"Stiles, Ezra","Stiles, Ezra (1727-1795)",1727-1795,Man
RN-PER-0752,,,,
RN-GRP-0018,,,,
269254,"Randolph, Peyton","Randolph, Peyton (1738-1794)",1738-1794,Man
305328,"Colden, Alexander","Colden, Alexander (son of Cadwallader Colden, Jr.)",-,Man
49325,"Bond, Thomas, Jr.","Bond, Thomas, Jr. (1743-1794)",1743-1794,Man
60390,"Zubly, John Joachim","Zubly, John Joachim (1724-1781)",1724-1781,Man
128989,"Kinnersley, Ebenezer","Kinnersley, Ebenezer (1711-1778)",1711-1778,Man
55580,"Mecom, Jane Franklin","Mecom, Jane Franklin (1712-1794)",1712-1794,Woman
52480,"Gildart, James","Gildart, James",-,Man
RN-PER-0689,,,,
51393,"Didsbury, John","Didsbury, John (1759-1811)",1759-1811,Man
RN-PER-0296,,,,
52654,"Graham, Catharine Sawbridge Macaulay","Graham, Catharine Sawbridge Macaulay (1731-1791)",1731-1791,Woman
278839,"Ogilvie, John","Ogilvie, John",1733-1813,Man
RN-BUS-0060,,,,
RN-BUS-0073,,,,
278279,"Whitehurst (Whitford), John","Whitehurst (Whitford), John",1713-1788,Man
53901,"Jackson, Richard","Jackson, Richard (1721-1787)",1721-1787,Man
272880,"Skipwith, Robert","Skipwith, Robert (spouse of Tabitha Wayles)",-,Man
58136,"Small, William","Small, William (1734-1775)",1734-1775,Man
269921,"Shipley, Anna Maria Mordaunt","Shipley, Anna Maria Mordaunt (1716-1803, wife of Jonathan)",1716-1803,Woman
50941,"Croghan, George","Croghan, George (1720-1782)",1720-1782,Man
255429,"Hunter, William","Hunter, William (1756-1814)",1756-1814,Man
53382,"Hewson, William","Hewson, William (1739-1774)",1739-1774,Man
57779,"Savage, Margaret Green","Savage, Margaret Green (d. 1781)",-1781,Woman
55614,"Mercer, James","Mercer, James (1736-1793)",1737-1793,Man
53532,"Holt, John","Holt, John (1721-1784)",1721-1784,Man
RN-PER-0162,,,,
55097,"Madison, James Sr.","Madison, James Sr. (1723-1801)",1723-1801,Man
RN-ORG-0254,,,,
274969,"Timothy, Peter","Timothy, Peter",1720-1781,Man
50964,"Cruger, Nicholas","Cruger, Nicholas (1743-1800)",1743-1800,Man
RN-ORG-0157,,,,
347256,"Balfour, John","Balfour, John",-,Man
49400,"Bowen, Penuel","Bowen, Penuel (1742-1788)",1742-1788,Man
55611,"Mercer, George","Mercer, George (1733-1784)",1733-1784,Man
RN-PER-0454,,,,
52190,"Fothergill, John","Fothergill, John (1712-1780)",1712-1780,Man
300002,"Noble, Samuel","Noble, Samuel (1720-1787)",1720-1787,Man
