DocumentID,Title,Author,Recipient,Date,Publication,Founders Online,Rotunda,authorIDs,recipientIDs,Location,geonameId,coordinates,latitude,longitude,country_code,country_name,admin1,admin2,hierarchy
FOEA-01-02-02-3748,"From George Washington to Nathanael Greene, 17 October 1782","Washington, George","Greene, Nathanael",1782-10-17,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3748,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3748,59627,52753,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3749,"From George Washington to Benjamin Lincoln, 17 October 1782","Washington, George","Lincoln, Benjamin, Sr.",1782-10-17,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3749,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3749,59627,54763,Head Quarters,,,,,,,,,
FOEA-01-02-02-3750,"From George Washington to James McHenry, 17 October 1782","Washington, George","McHenry, James, Sr.",1782-10-17,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3750,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3750,59627,55474,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
BNFN-01-38-02-0175,"George Washington to Benjamin Franklin, 18 October 1782","Washington, George","Franklin, Benjamin",1782-10-18,BNFN,https://founders.archives.gov/documents/Franklin/01-38-02-0175,https://rotunda.upress.virginia.edu/founders/BNFN-01-38-02-0175,59627,52222,"New York City, New York County [N.Y.]",5128581,"40.71427, -74.00597",40.71427,-74.00597,US,United States,New York,,United States > New York
FOEA-01-02-02-3754,"From George Washington to Benjamin Franklin, 18 October 1782","Washington, George","Franklin, Benjamin",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3754,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3754,59627,52222,Head Quarters,,,,,,,,,
FOEA-01-02-02-3755,"From George Washington to Nathanael Greene, 18 October 1782","Washington, George","Greene, Nathanael",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3755,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3755,59627,52753,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3756,"From George Washington to John Jay, 18 October 1782","Washington, George","Jay, John",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3756,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3756,59627,53956,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3757,"From George Washington to Anne-César, chevalier de La Luzerne, 18 October 1782","Washington, George","La Luzerne, Anne-César, chevalier de",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3757,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3757,59627,54374,Head Quarters,,,,,,,,,
FOEA-01-02-02-3758,"From George Washington to Anne-César, chevalier de La Luzerne, 18 October 1782","Washington, George","La Luzerne, Anne-César, chevalier de",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3758,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3758,59627,54374,Head Quarters,,,,,,,,,
FOEA-01-02-02-3760,"From George Washington to Robert Morris, 18 October 1782","Washington, George","Morris, Robert",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3760,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3760,59627,55950,Head Quarters,,,,,,,,,
FOEA-01-02-02-3761,"From George Washington to Louis Marie, Vicomte [de] Noailles, 18 October 1782","Washington, George","Noailles, Louis Marie, vicomte de",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3761,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3761,59627,56259,Head Quarters,,,,,,,,,
FOEA-01-02-02-3764,"From George Washington to Jeremiah Wadsworth, 18 October 1782","Washington, George","Wadsworth, Jeremiah",1782-10-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3764,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3764,59627,59454,Head Quarters,,,,,,,,,
FOEA-01-02-02-3766,"From George Washington to George Clinton, 19 October 1782","Washington, George","Clinton, George",1782-10-19,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3766,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3766,59627,50543,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3770,"From George Washington to Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier, marquis de Lafayette, 20 October 1782","Washington, George","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier, marquis de",1782-10-20,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3770,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3770,59627,54363,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3771,"From George Washington to Hugh Martin, 20 October 1782","Washington, George","Martin, Hugh",1782-10-20,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3771,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3771,59627,55237,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3777,"From George Washington to Thomas Lansdale, 22 October 1782","Washington, George","Lansdale, Thomas",1782-10-22,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3777,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3777,59627,54418,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3778,"From George Washington to Benjamin Lincoln, 22 October 1782","Washington, George","Lincoln, Benjamin, Sr.",1782-10-22,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3778,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3778,59627,54763,Head Quarters,,,,,,,,,
FOEA-01-02-02-3783,"From George Washington to William Gordon, 23 October 1782","Washington, George","Gordon, William",1782-10-23,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3783,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3783,59627,52623,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3784,"From George Washington to James McHenry, 23 October 1782","Washington, George","McHenry, James, Sr.",1782-10-23,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3784,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3784,59627,55474,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
